Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2023-06-28 19:44:30,false,"Pool Swimming","875","340","00:23:08","138","172","2.5","--","--","2:02","0:55","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","377","41","21","0","0:00","0.0","0:00","No","00:02.41","10","0.0","00:17:44","00:23:17","--","--"
Pool Swimming,2023-06-27 21:09:25,false,"Pool Swimming","1,175","346","00:27:56","124","151","2.2","--","--","1:50","0:49","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","447","37","21","0","0:00","0.0","0:00","No","27:55.68","1","0.0","00:21:27","00:28:02","--","--"
Pool Swimming,2023-06-26 19:25:30,false,"Pool Swimming","1,375","465","00:39:55","126","151","2.3","--","--","2:03","0:48","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","571","41","20","0","0:00","0.0","0:00","No","00:00.76","8","0.0","00:28:11","00:41:41","--","--"
Pool Swimming,2023-06-22 21:06:06,false,"Pool Swimming","1,250","371","00:30:11","137","170","2.7","--","--","1:46","0:51","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","535","37","24","0","0:00","0.0","0:00","No","30:10.54","1","0.0","00:22:10","00:30:19","--","--"
Pool Swimming,2023-06-13 20:50:20,false,"Pool Swimming","1,675","517","00:44:34","132","160","2.6","--","--","1:59","0:48","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","729","41","22","0","0:00","0.0","0:00","No","00:03.45","5","0.0","00:33:14","00:44:40","--","--"
Open Water Swimming,2023-06-11 19:40:05,false,"Calvià Open Water Swimming","1,226","265","00:36:32","103","141","0.7","--","--","2:59","0:43","--","--","0.00","0.0","0.0","0","22:42","--","0.0","0","0","0.0","0.0","401","58","11","0","0:00","71.6","0:00","No","08:10.65","3","87.8","00:18:37","00:36:32","--","--"
Pool Swimming,2023-06-08 20:46:36,false,"Pool Swimming","1,850","574","00:38:03","139","167","3.0","--","--","1:45","0:48","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","754","37","23","0","0:00","0.0","0:00","No","38:03.32","1","0.0","00:32:32","00:44:53","--","--"
Pool Swimming,2023-06-06 20:44:17,false,"Pool Swimming","2,075","631","00:48:07","125","162","2.4","--","--","2:05","0:51","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","925","42","21","0","0:00","0.0","0:00","No","00:01.71","2","0.0","00:43:19","00:48:23","--","--"
Pool Swimming,2023-06-01 20:26:17,false,"Pool Swimming","2,750","954","01:07:14","125","156","2.4","--","--","1:56","0:48","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1109","39","21","0","0:00","0.0","0:00","No","01:07:13.78","1","0.0","00:53:03","01:16:41","--","--"
Pool Swimming,2023-05-30 20:38:02,false,"Pool Swimming","2,775","893","01:00:16","129","170","2.6","--","--","1:51","0:49","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1116","38","22","0","0:00","0.0","0:00","No","00:12.27","3","0.0","00:51:30","01:00:29","--","--"
Running,2023-05-29 20:44:56,false,"Palma Running","1.58","784","01:00:34","140","168","3.2","38","163","38:22","6:45","379","209","1.11","0.0","0.0","0","45:05","275","0.0","77","591","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:00:33.72","1","0.0","00:12:35","01:00:34","161","470"
Running,2023-05-24 20:58:03,false,"Palma Running","0.58","687","00:54:48","132","162","3.1","12","179","--","12:02","343","83","1.38","0.0","0.0","0","--","24","0.0","5","228","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","54:47.77","1","0.0","00:03:56","00:55:46","251","569"
Running,2023-05-22 19:46:04,false,"Marratxí Running","10.51","744","01:53:09","100","140","1.6","9","177","10:46","0:51","236","368","16.58","0.0","0.0","0","12:52","68","0.0","8","619","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:53:09.19","1","0.0","00:33:47","01:53:09","-8","162"
Multisport,2023-05-11 19:17:29,false,"Marratxí Multisport","0.41","473","00:37:43","0","161","2.6","--","--","0.7","--","21","22","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.00","3","0.0","00:00:00","00:37:46","137","152"
Pool Swimming,2023-05-04 20:21:50,false,"Pool Swimming","2,800","878","01:00:16","134","163","3.0","--","--","1:53","0:50","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1151","38","22","0","0:00","0.0","0:00","No","17:00.68","2","0.0","00:52:35","01:00:32","--","--"
Pool Swimming,2023-05-02 20:24:30,false,"Pool Swimming","2,625","852","01:04:22","133","182","2.8","--","--","1:48","0:49","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1029","37","22","0","0:00","0.0","0:00","No","01:04:21.93","1","0.0","00:47:01","01:04:31","--","--"
Pool Swimming,2023-05-01 19:56:00,false,"Pool Swimming","850","269","00:21:12","137","165","2.3","--","--","2:02","1:16","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","363","41","21","0","0:00","0.0","0:00","No","00:08.20","11","0.0","00:17:19","00:21:39","--","--"
Pool Swimming,2023-04-27 20:40:11,false,"Pool Swimming","550","181","00:37:49","137","173","2.9","--","--","1:50","0:53","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","208","37","21","0","0:00","0.0","0:00","No","00:03.39","4","0.0","00:10:05","00:40:24","--","--"
Pool Swimming,2023-04-25 20:22:39,false,"Pool Swimming","3,000","931","01:20:07","129","166","2.8","--","--","1:56","0:46","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1250","40","21","0","0:00","0.0","0:00","No","01:20:07.29","1","0.0","00:58:13","01:20:15","--","--"
Running,2023-04-24 20:07:41,false,"Marratxí Running","0.19","198","00:15:43","127","152","2.0","19","154","--","17:06","--","--","1.01","0.0","0.0","0","--","40","0.0","15","174","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","15:42.52","1","0.0","00:03:15","00:16:18","158","166"
Pool Swimming,2023-04-20 20:35:51,false,"Pool Swimming","2,225","700","01:07:51","131","169","2.8","--","--","2:08","0:51","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1025","44","22","0","0:00","0.0","0:00","No","00:04.27","5","0.0","00:47:36","01:07:56","--","--"
Running,2023-04-19 20:35:03,false,"Palma Running","0.75","520","01:06:18","107","153","2.1","18","250","--","3:24","480","435","1.03","0.0","0.0","0","--","65","0.0","13","1,151","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:06:17.76","1","0.0","00:06:02","01:06:18","-151","371"
Pool Swimming,2023-04-18 20:22:02,false,"Pool Swimming","900","269","01:00:24","130","168","2.7","--","--","2:19","1:00","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","397","46","19","0","0:00","0.0","0:00","No","01:40.11","4","0.0","00:20:52","01:00:32","--","--"
Running,2023-04-17 20:33:13,false,"Palma Running","0.75","595","00:57:53","125","161","2.5","8","173","--","11:56","594","277","2.47","0.0","0.0","0","--","29","0.0","7","245","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","57:53.32","1","0.0","00:04:33","00:57:53","255","772"
Running,2023-04-14 20:33:55,false,"Palma Running","1.57","593","00:59:34","127","172","2.9","36","183","38:00","5:05","260","345","1.17","0.0","0.0","0","43:20","270","0.0","78","674","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","59:33.63","1","0.0","00:13:28","00:59:34","-9","248"
Pool Swimming,2023-04-13 20:25:47,false,"Pool Swimming","2,200","729","01:01:50","131","169","2.7","--","--","2:12","0:49","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","899","43","19","0","0:00","0.0","0:00","No","00:03.07","10","0.0","00:48:21","01:02:44","--","--"
